Date; Open; High; Low; Close; Volume
28/05/2021;6330;6370;6330;6340;1.02108E+14
31/05/2021;6360;6390;6325;6375;1.01442E+13
02/06/2021;6500;6515;6420;6465;1.41732E+14
03/06/2021;6495;6600;6430;6600;1.3381E+14
04/06/2021;6620;6620;6500;6580;6.21085E+14
07/06/2021;6560;6570;6430;6530;6.2576E+12
08/06/2021;6575;6575;6430;6430;6.4348E+12
09/06/2021;6360;6535;6360;6530;7.7198E+12
10/06/2021;6555;6620;6490;6620;7.32625E+14
11/06/2021;6570;6580;6460;6470;7.27805E+14
14/06/2021;6520;6520;6400;6410;6.14785E+14
15/06/2021;6445;6470;6405;6470;8.7799E+14
16/06/2021;6420;6435;6360;6385;4.8984E+12
17/06/2021;6390;6390;6275;6330;6.84485E+14
18/06/2021;6300;6345;6280;6325;1.18043E+14
21/06/2021;6300;6300;6210;6250;6.08235E+14
22/06/2021;6250;6390;6240;6340;6.5824E+12
23/06/2021;6295;6340;6230;6230;5.2451E+13
24/06/2021;6310;6310;6200;6210;5.601E+12
25/06/2021;6230;6260;6190;6190;6.89395E+14
28/06/2021;6100;6150;6055;6055;8.44205E+14
29/06/2021;6050;6090;6040;6045;5.3704E+12
30/06/2021;6000;6070;6000;6025;6.5795E+13
01/07/2021;6060;6075;6000;6025;5.8153E+13
02/07/2021;6070;6140;6040;6100;6.73925E+14
05/07/2021;6100;6130;6070;6110;3.97105E+14
06/07/2021;6110;6110;6055;6055;3.42795E+14
07/07/2021;6180;6180;6030;6065;3.5595E+13
08/07/2021;6000;6040;5980;6015;4.7297E+13
09/07/2021;6010;6020;5990;6020;4.07075E+14
12/07/2021;6070;6180;6020;6170;6.59815E+14
13/07/2021;6170;6175;6015;6045;6.59465E+14
14/07/2021;6020;6030;5980;5990;5.9321E+13
15/07/2021;6000;6115;5995;6115;4.9724E+12
16/07/2021;6170;6170;6055;6110;4.79985E+14
19/07/2021;6110;6110;6005;6005;4.7119E+13
21/07/2021;6050;6120;6010;6010;5.50095E+14
22/07/2021;6115;6155;6050;6155;6.0792E+12
23/07/2021;6180;6190;6025;6035;7.9938E+12
26/07/2021;6040;6060;6005;6005;4.81715E+14
27/07/2021;6005;6060;6000;6005;5.31075E+14
28/07/2021;6005;6010;5970;5980;7.4133E+13
29/07/2021;6055;6085;5980;6040;8.4605E+13
30/07/2021;6040;6100;5960;5970;1.05685E+14
02/08/2021;6060;6065;5905;5960;1.19982E+14
03/08/2021;6025;6180;5985;6145;1.10072E+14
04/08/2021;6145;6150;6060;6120;4.1112E+12
05/08/2021;6170;6310;6140;6300;9.3768E+12
06/08/2021;6360;6360;6135;6160;6.7285E+13
09/08/2021;6135;6200;6105;6200;5.28585E+14
10/08/2021;6250;6300;6115;6300;6.0446E+12
12/08/2021;6120;6320;6120;6300;1.18325E+14
13/08/2021;6350;6435;6325;6410;8.6929E+14
16/08/2021;6420;6420;6305;6420;6.9282E+12
18/08/2021;6520;6760;6460;6600;1.86354E+14
19/08/2021;6600;6600;6530;6600;1.00926E+13
20/08/2021;6600;6600;6510;6600;1.20163E+14
23/08/2021;6515;6590;6515;6590;6.8253E+13
24/08/2021;6570;6600;6500;6600;5.95615E+14
25/08/2021;6600;6605;6585;6600;8.07515E+14
26/08/2021;6560;6580;6470;6560;7.4337E+13
27/08/2021;6490;6530;6490;6510;7.15725E+14
30/08/2021;6530;6580;6520;6565;7.45645E+14
31/08/2021;6520;6570;6515;6550;1.15373E+14
01/09/2021;6550;6600;6535;6565;6.73625E+14
02/09/2021;6525;6575;6455;6540;5.3257E+13
03/09/2021;6560;6600;6515;6600;3.57645E+14
06/09/2021;6600;6605;6550;6575;3.678E+11
07/09/2021;6595;6605;6570;6570;5.3902E+12
08/09/2021;6550;6595;6420;6440;7.7888E+12
09/09/2021;6410;6570;6410;6570;1.10074E+13
10/09/2021;6495;6565;6495;6520;4.14835E+14
13/09/2021;6560;6560;6525;6555;2.9929E+13
14/09/2021;6590;6595;6495;6545;5.19905E+14
15/09/2021;6545;6550;6485;6495;4.4514E+12
16/09/2021;6580;6580;6480;6500;5.86725E+14
17/09/2021;6490;6535;6480;6520;1.1754E+12
20/09/2021;6570;6590;6510;6585;7.31575E+14
21/09/2021;6510;6535;6470;6490;5.71155E+14
22/09/2021;6500;6580;6500;6555;6.8722E+12
23/09/2021;6555;6590;6545;6580;6.09985E+14
24/09/2021;6500;6585;6500;6585;6.05395E+14
27/09/2021;6585;6595;6555;6580;5.50525E+14
28/09/2021;6540;6560;6500;6520;8.0186E+12
29/09/2021;6520;6580;6515;6580;7.4079E+13
30/09/2021;6600;7000;6595;7000;1.56848E+13
01/10/2021;6900;6900;6710;6760;1.03954E+14
04/10/2021;6740;6960;6740;6960;7.4719E+13
05/10/2021;6910;6945;6860;6945;5.49865E+14
06/10/2021;6980;7180;6970;7180;1.74312E+13
07/10/2021;7175;7175;7080;7160;1.07263E+14
08/10/2021;7200;7300;7175;7290;9.46435E+14
11/10/2021;7240;7290;7230;7255;4.7201E+13
12/10/2021;7255;7320;7245;7320;9.1067E+13
13/10/2021;7400;8250;7400;7525;2108932970
14/10/2021;7600;7900;7600;7750;1388119060
15/10/2021;7800;7875;7450;7650;1423782030
18/10/2021;7650;7675;7475;7525;1166443050
19/10/2021;7475;7525;7350;7500;1346012030
21/10/2021;7500;7550;7350;7400;1061200940
22/10/2021;7450;7550;7425;7525;967307030
25/10/2021;7400;7525;7400;7525;603298010
26/10/2021;7600;7600;7500;7525;701030000
27/10/2021;7575;7575;7425;7450;570670000
28/10/2021;7350;7425;7350;7375;752719060
29/10/2021;7450;7475;7375;7475;606391990
01/11/2021;7550;7550;7400;7400;385933980
02/11/2021;7375;7425;7250;7300;905353980
03/11/2021;7300;7400;7250;7350;616215000
04/11/2021;7425;7475;7375;7375;610813980
05/11/2021;7475;7475;7375;7450;431203980
08/11/2021;7500;7600;7450;7575;854416950
09/11/2021;7600;7675;7575;7675;1017857970
10/11/2021;7675;7675;7575;7650;475038980
11/11/2021;7700;7750;7600;7675;557900000
12/11/2021;7750;7750;7525;7525;525901020
15/11/2021;7625;7625;7500;7500;673442030
16/11/2021;7400;7475;7325;7475;986168980
17/11/2021;7500;7575;7425;7575;619681020
18/11/2021;7425;7500;7400;7400;788396020
19/11/2021;7425;7450;7375;7425;682036950
22/11/2021;7425;7525;7400;7475;663282970
23/11/2021;7400;7500;7400;7475;434775000
24/11/2021;7575;7575;7425;7475;351813980
25/11/2021;7450;7525;7425;7425;402161020
26/11/2021;7400;7450;7250;7275;1132883980
29/11/2021;7275;7425;7175;7400;879079060
30/11/2021;7325;7425;7275;7275;1449237030
01/12/2021;7275;7450;7275;7300;765380940
02/12/2021;7375;7500;7300;7500;668310000
03/12/2021;7525;7525;7350;7375;632836990
06/12/2021;7450;7475;7350;7350;569441020
07/12/2021;7450;7475;7350;7350;512581990
08/12/2021;7450;7475;7400;7425;747750000
09/12/2021;7400;7450;7350;7350;548863980
10/12/2021;7325;7375;7275;7375;910923980
13/12/2021;7375;7400;7300;7300;599771020
14/12/2021;7300;7375;7275;7300;497636020
15/12/2021;7300;7375;7275;7300;524776020
16/12/2021;7375;7400;7275;7275;951713980
17/12/2021;7325;7500;7300;7500;1070967970
20/12/2021;7350;7400;7325;7375;747530000
21/12/2021;7325;7400;7325;7375;523861020
22/12/2021;7425;7425;7325;7325;332320000
23/12/2021;7325;7350;7300;7300;371363980
24/12/2021;7300;7350;7300;7300;308021000
27/12/2021;7300;7350;7300;7350;207221000
28/12/2021;7375;7400;7325;7350;393438010
29/12/2021;7350;7375;7300;7300;420795000
